Tool	Platform	Code	Description	License	Added	Updated
Dynamo	Python	https://github.com/aristoteleo/dynamo-release	Dynamo: Mapping Vector Field of Single Cells	BSD-3-Clause	2019-07-11	2022-03-04
dynDeepDRIM	Python	https://github.com/yuxu-1/dynDeepDRIM	A dynamic deep learning model to infer direct regulatory interactions using single cell time-course gene expression data	NA	2021-09-03	2021-09-03
dyngen	R	https://github.com/dynverse/dyngen	A toolkit for generating synthetic single cell data	GPL-3.0	2020-02-20	2020-09-17
dynverse	R	https://github.com/dynverse/dynverse	dynverse is a collection of R packages aimed at supporting the trajectory inference (TI) community on multiple levels: end-users who want to apply TI on their dataset of interest, and developers who seek to easily quantify the performance of their TI method and compare it to other TI methods.	GPL-3.0	2018-03-15	2019-04-05
ECLAIR	Python	https://github.com/GGiecold/ECLAIR	ECLAIR stands for Ensemble Clustering for Lineage Analysis, Inference and Robustness. Robust and scalable inference of cell lineages from gene expression data.	MIT	2016-09-08	2016-09-08
EDClust	R	https://github.com/weix21/EDClust	EDClust is an R package designed for cell clustering in multiple-subject single-cell RNA sequencing	GPL-3.0	2022-04-01	2022-04-01
EDGE	R/C++	https://github.com/shawnstat/EDGE	Ensemble dimensionality reduction and feature gene extraction for single-cell RNA-seq data	GPL-3.0	2020-11-22	2020-11-22
EEISP	Python	https://github.com/Natsu01/EEISP	A tool for identifying codependent and mutually exclusive gene sets from sparse single-cell RNA-seq data	NA	2021-03-19	2021-10-02
elasticC3	MATLAB	https://github.com/cuhklinlab/elasticC3	Elastic Coupled Co-clustering for Single-Cell Genomic Data	NA	2020-04-13	2020-09-10
ELeFHAnt	R	https://github.com/praneet1988/ELeFHAnt	Ensemble Learning for Harmonization and Annotation of Single Cells (ELeFHAnt) provides an easy to use R package for users to annotate clusters of single cells, harmonize labels across single cell datasets to generate a unified atlas and infer relationship among celltypes between two datasets	GPL-3.0	2021-09-10	2021-09-10
ELSA	Python	https://github.com/diazlab/ELSA	Ensemble Learning for classifying Single-cell data and projection across reference Atlases	GPL-3.0	2020-03-12	2020-03-12
embeddr	R	https://github.com/kieranrcampbell/embeddr	Embeddr creates a reduced dimensional representation of the gene space using a high-variance gene correlation graph and laplacian eigenmaps. It then fits a smooth pseudotime trajectory using principal curves.	GPL-3.0	2016-09-12	2016-09-12
EMBEDR	Python/C++	https://github.com/ejohnson643/EMBEDR	Empirical Marginal resampling Better Evaluates Dimensionality Reduction, or EMBEDR, is a method for evaluating the extent to which an embedding generated by a dimensionality reduction algorithm contains structures that are more similar to the structures in the high-dimensional space than we expect by random chance	NA	2022-03-18	2022-03-18
EMEP	MATLAB	https://github.com/lixt314/EMEP	Single-Cell RNA-seq Data using Evolutionary Multiobjective Ensemble Pruning	NA	2019-01-06	2019-01-06
EmptyNN	R	https://github.com/lkmklsmn/empty_nn	EmptyNN is a novel cell-calling algorithm based on Positive-unlabeled (PU) learning which removes cell-free droplets and recovers lost cells in droplet-based single cell RNA sequencing data	NA	2021-01-22	2021-07-27
ENCORE	R	https://github.com/SONG0417/ENCORE_V1.0	ENtropy subspace separation-based Clustering for nOise REduction (ENCORE)	GPL-3.0	2021-01-08	2021-06-28
ENHANCE	Python/R	https://github.com/yanailab/enhance	Accurate denoising of single-cell RNA-Seq data using unbiased principal component analysis	NA	2019-11-08	2019-11-08
EnImpute	R	https://github.com/Zhangxf-ccnu/EnImpute	Imputing dropout events in single cell RNA sequencing data via ensemble learning	GPL-2.0-or-later	2019-05-31	2019-05-31
EnsembleKQC	Python	https://github.com/mzhq/EnsembleKQC	An Unsupervised Ensemble Learning Method for Quality Control of Single Cell RNA-seq Sequencing Data	NA	2019-08-12	2019-08-12
EnTSSR	Python	https://github.com/Oyl-CityU/EnTSSR	EnTSSR: a weighted ensemble learning method to impute single-cell RNA sequencing data	NA	2021-09-17	2021-09-17
Eoulsan	Java	https://github.com/GenomicParisCentre/eoulsan	With Eoulsan, users can easily set up a cloud computing cluster and automate the analysis of several samples at once using various software solutions available	CECILL-C	2021-10-22	2021-10-22
EPIC	R	https://github.com/rujinwang/EPIC	EPIC (cEll tyPe enrIChment), a statistical framework that relates large-scale GWAS summary statistics to cell-type-specific omics measurements from single-cell sequencing	GPL-2.0	2021-06-25	2021-06-25
eQTLsingle	R/Shell	https://github.com/horsedayday/eQTLsingle	eQTLsingle is an R package for discovering eQTLs only with single cell RNA-seq (scRNA-seq) data, without genomic data	NA	2021-06-11	2021-06-11
ESAT	Java	https://github.com/garber-lab/ESAT	"The ESAT toolkit is designed for expression analysis of Digital expression (DGE) libraries that target transcript ""ends"". ESAT takes a set of alignment files (SAM or BAM) with genome alignment coordinates, a file containing transcript coordinates (BED or text file) and outputs read counts for each transcript provided."	NA	2016-09-09	2016-09-09
escape	R	https://github.com/ncborcherding/escape	A bridging R package to facilitate gene set enrichment analysis (GSEA) in the context of single-cell RNA sequencing	Apache-2.0	2020-10-30	2020-10-30
ESCO	R	https://github.com/JINJINT/ESCO	An scRNA-seq simulation model that adopts the idea of the copula to impose gene co-expression, while preserving the highlights of available simulators	GPL-3.0	2020-11-08	2020-11-08
eSPRESSO	R	https://github.com/tmorikuicr/espresso	espresso is a package for domain estimation of cells only from gene expression profile based on graph-structured stochastic self-organizing map (graph-SOM) and Markov chain Monte Carlo (MCMC)	GPL-3.0	2021-01-08	2021-01-08
eSVD	R	https://github.com/linnykos/esvd	eSVD estimates an embedding for each cell with respect to a hierarchical model using the exponential family	MIT	2020-10-05	2020-10-05
EVI	Python	https://github.com/jranek/EVI	EVI is a python package designed for evaluating multi-modal data integration strategies on combining unspliced, spliced, and RNA velocity gene expression modalities for trajectory inference and disease prediction tasks	MIT	2022-03-04	2022-03-04
Falco	AWS	https://github.com/VCCRI/Falco	A Cloud-based Genetic Feature Quantification Analysis Tool	GPL-3.0	2016-09-08	2020-01-10
FastCount	C++	https://bitbucket.org/merckey/fastcount	FastCount is a light-weight k-mer based UMI counting algorithm to efficiently quantify UMI counts from single cell RNA-seq data	NA	2021-08-11	2021-08-11
fasthplus	R	https://github.com/ntdyjack/fasthplus	The fasthplus R package provides fast approximations for metrics of discordance or dissimilarity	CC-BY-4.0	2022-02-11	2022-02-11
FastProject	Python	https://github.com/YosefLab/FastProject	Here we present FastProject, a software package for two-dimensional visualization of single cell data, which utilizes a plethora of projection methods and provides a way to systematically investigate the biological relevance of these low dimensional representations by incorporating domain knowledge.	Custom	2016-09-09	2016-09-09
FateID	R	https://github.com/dgrun/FateID	FateID is a random forests-based algorithm for the quantification of the fate biases of multipotent progenitors, i. e. the probabilities of differentiating towards particular cell lineages.	GPL-3.0	2017-11-21	2021-04-16
fba	Python	https://github.com/jlduan/fba	A flexible and streamlined package to perform quality control, quantification, demultiplexing, multiplet detection, clustering, and visualization of feature barcoding assays	MIT	2021-05-28	2021-05-28
fcoex	R	https://github.com/csbl-usp/fcoex	The fcoex package implements an easy-to use interface to co-expression analysis based on the FCBF (Fast Correlation-Based Filter) algorithm.	GPL-3.0	2019-11-03	2021-12-10
FEAST	R/C	https://github.com/suke18/FEAST	FEAST is a framework designed for ranking features and selecting an optimized feature set as an input for scRNA-seq clustering	GPL-2.0	2021-02-26	2021-05-21
FEATS	Python	https://github.com/edwinv87/feats	Feats is a python software package that can perform multiple tasks related to data clustering. It can perform cluster count estimation, outlier detection, data integration from different experiments.	MIT	2020-07-26	2020-09-10
FeatureCorr	R	https://github.com/DKundnani/FeatureCorr	An R package to study feature correlations aided with data transformation for Next Generation sequencing and microarray data	GPL-3.0	2021-10-02	2021-10-02
FEM	Python	https://github.com/qingyunpkdd/single_cell_fem	An algorithm which converts the gene expression matrix into a functional expression matrix	NA	2021-12-10	2021-12-10
FIESTA	R	https://github.com/elnazmirzaei/FIESTA	Factorization-based Inferred Expression Single-cell Transcriptomic Analysis (FIESTA)	GPL-2.0	2021-05-07	2021-05-07
FiRE	Python/C++/R	https://github.com/princethewinner/FiRE	FiRE - Finder of Rare Entities	GPL-3.0	2018-11-13	2021-09-17
FIRM	R/C++	https://github.com/mingjingsi/FIRM	Fast Integration of single-cell RNA-sequencing data across Multiple platforms	NA	2020-06-26	2020-06-26
fishpond	R	https://github.com/mikelove/fishpond	Fishpond: differential transcript and gene expression with inferential replicates	GPL-2.0	2019-03-07	2019-08-26
FLAMES	Python/C/C++/R	https://github.com/LuyiTian/FLAMES	A computational framework to perform single-cell full-length analysis of mutations and splicing	GPL-3.0	2020-08-20	2021-11-27
flotilla	Python	https://github.com/yeolab/flotilla	Reproducible machine learning analysis of gene expression and alternative splicing data	BSD-3-Clause	2016-09-08	2021-06-28
FlowGrid	Python	https://github.com/holab-hku/FlowGrid	FlowGrid density-based clustering algorithm that can perform fast and accurate clustering on very large scRNA-seq data sets	MIT	2021-08-01	2021-08-01
FLOWMAPR	R	https://github.com/zunderlab/FLOWMAP	Graph-based visualizations of high-dimensional single-cell data across time	MIT	2020-01-22	2020-01-22
FORKS	Python	https://github.com/macsharma/FORKS	Finding Orderings Robustly using K-means and Steiner trees (FORKS), an algorithm that pseudo-temporally orders cells and thereby infers bifurcating state trajectories.	GPL-3.0	2018-03-22	2018-03-22
FRmatch	R	https://github.com/JCVenterInstitute/FRmatch	Cluster-to-cluster Mapping of Single Cell RNA Sequencing (scRNA-seq) Data Clusters by Friedman-Rafsky (FR) Test	MIT	2020-05-07	2020-05-07
FSCAM	R	https://github.com/YanWang-jn/FSCAM	FSCAM enables users to easily select features from single-cell RNA sequencing	GPL-2.0-or-later	2022-01-22	2022-01-22
Fugue	Python	https://github.com/xilinshen/Fugue	A simple batch-correction method that is scalable for integrating super large-scale single-cell transcriptomes	CC0-1.0	2021-12-17	2022-03-04
FUNKI	R	https://github.com/saezlab/ShinyFUNKI	FUNKI is a multi-omic functional integration and analysis platform	AGPL-3.0	2021-09-24	2021-09-24
G2S3	MATLAB/R	https://github.com/ZWang-Lab/G2S3	G2S3: a Sparse and Smooth Signal of Gene Graph-based imputation method for scRNA-seq data	GPL-3.0	2020-04-13	2020-04-13
GapClust	R	https://github.com/fabotao/GapClust	Detecting rare cells from expression profiles by single cell RNA-seq	GPL-3.0	2021-07-16	2021-07-16
Garnett	R	https://github.com/cole-trapnell-lab/garnett	Garnett, an algorithm and accompanying software for rapidly annotating cell types in scRNA-seq and scATAC-seq datasets, based on an interpretable, hierarchical markup language of cell type-specific genes.	MIT	2019-02-11	2019-09-17
gCAnno	Python	https://github.com/xjtu-omics/gCAnno	A graph-based single cell type annotation method	NA	2020-07-31	2020-07-31
geneBasisR	R	https://github.com/MarioniLab/geneBasisR	Selects an optimal targeted gene panel (based on scRNA-seq data) as a function of designated number of genes	MIT	2021-08-11	2021-12-17
GenePattern	Python	https://github.com/genepattern/single_cell_clustering_notebook	Interactive notebook workflow for pre-processing data, identification of sub-populations of cells by clustering, and exploration of biomarkers.	BSD-3-Clause	2018-08-24	2019-10-02
genesorteR	R	https://github.com/mahmoudibrahim/genesorteR	genesorteR is an R package for single cell data analysis. It calculates a specificity score to rank all genes in each cell cluster. It can then use this ranking to find sets of marker genes or to find highly variable genes.	GPL-3.0	2017-06-28	2017-06-28
GeneSwitches	R	https://github.com/SGDDNB/GeneSwitches	The goal of GeneSwitches is to discover the order of gene-expression and functional events during cell state transitions at a single-cell resolution.	NA	2019-11-12	2019-11-12
genomicInstability	R	https://github.com/reef103/genomicInstability	This package contain functions to run genomic instability analysis (GIA) from scRNA-Seq data	Custom	2021-11-05	2021-11-05
geosketch	Python	https://github.com/brianhie/geosketch	geosketch is a Python package that implements the geometric sketching algorithm for subsampling cells	MIT	2019-02-12	2021-08-11
gficf	R	https://github.com/dibbelab/gficf	An R implementation of the Gene Frequency - Inverse Cell Frequency method for single cell data normalization	GPL-3.0	2019-08-12	2019-08-12
GiniClust	R/Python	https://github.com/lanjiangboston/GiniClust	GiniClust is a clustering method implemented in Python and R for detecting rare cell-types from large-scale single-cell gene expression data.	MIT	2016-09-09	2016-09-09
GiniClust2	R	https://github.com/dtsoucas/GiniClust2	GiniClust2 is a clustering algorithm for the simultaneous detection of common and rare cell types from single-cell gene expression data.	MIT	2018-01-18	2018-05-18
GiniClust3	Python	https://github.com/rdong08/GiniClust3	GiniClust is a clustering method specifically designed for rare cell type detection. In this new version (GiniClust3), we have substantially increased the speed and reduced memory usage in order to meet the need for large data size.	MIT	2019-09-30	2019-10-09
GLM-PCA	R	https://github.com/willtownes/glmpca	Implements a generalized version of principal components analysis (GLM-PCA) for dimension reduction of non-normally distributed data such as counts or binary matrices.	LGPL-3.0	2020-01-02	2020-01-02
glmGamPoi	R/C++	https://github.com/const-ae/glmGamPoi	Fit Gamma-Poisson Generalized Linear Models Reliably	GPL-3.0	2020-08-20	2020-08-20
GLUER	Python	https://github.com/tanlabcode/GLUER	inteGrative anaLysis of mUlti-omics at single-cEll Resolution	MIT	2021-02-26	2021-02-26
GMM-Demux	Python	https://github.com/CHPGenetics/GMM-demux	GMM-Demux removes Multi-Sample-Multiplets (MSMs) in a cell hashing dataset and estimates the fraction of Same-Sample-Multiplets (SSMs) and singlets in the remaining dataset.	MIT	2019-11-08	2020-08-06
GNNImpute	Python	https://github.com/Lav-i/GNNImpute	GNNImpute uses graph attention convolution to aggregate multi-level similar cell information and implements convolution operations on non-Euclidean space on scRNA-seq data	Apache-2.0	2021-12-17	2021-12-17
GPcounts	Python	https://github.com/ManchesterBioinference/GPcounts	GPcounts is Gaussian process regression package for counts data with negative binomial and zero-inflated negative binomial likelihoods	Apache-2.0	2020-08-06	2021-07-27
GPfates	Python	https://github.com/Teichlab/GPfates	Model transcriptional cell fates as mixtures of Gaussian Processes	MIT	2016-09-19	2018-03-14
GPseudoClust	MATLAB	https://github.com/magStra/GPseudoClust	GPseudoClust: deconvolution of shared pseudo-trajectories at single-cell resolution	GPL-3.0	2019-03-25	2019-03-25
GPseudoRank	MATLAB	https://github.com/magStra/GPseudoRank	GPseudoRank, an algorithm sampling from a posterior distribution of pseudo-orders instead of pseudotimes, avoiding the exploration of pseudotime assignments that all map to the same ordering.	LGPL-3.0	2018-03-22	2021-06-28
Granatum	Virtualbox	https://gitlab.com/uhcclxgg/granatum	This is a graphical single-cell RNA-seq (scRNA-seq) analysis pipeline for genomics scientists.	NA	2017-03-01	2018-04-24
GrandPrix	Python	https://github.com/ManchesterBioinference/GrandPrix	"GrandPrix is a python package implementing the approach described in the paper ""GrandPrix: Scaling up the Bayesian GPLVM for single-cell data"" ."	Apache-2.0	2017-12-07	2021-06-28
graph-sc	Python	https://github.com/ciortanmadalina/graph-sc-package	A method modeling scRNA-seq data as a graph, processed with a graph autoencoder network to create representations (embeddings) for each cell	MIT	2021-08-27	2021-12-10
GraphCS	C++/Python	https://github.com/biomed-AI/GraphCS	A Robust and Scalable Graph Neural Networkfor Accurate Single Cell Classification	NA	2021-07-02	2022-03-04
GraphEmbed	Python	https://github.com/fabriziocosta/GraphEmbed	Compute a 2D embedding of a data matrix given supervised class information	MIT	2018-10-02	2020-01-02
GraphSCC	Python	https://github.com/biomed-AI/GraphSCC	Accurately Clustering Single-cell RNA-seq data by Capturing Structural Relations between Cells through Graph Convolutional Network	Apache-2.0	2020-09-17	2020-09-17
GraphSCI	Python	NA	Imputing Single-cell RNA-seq data by combining Graph Convolution and Autoencoder Neural Networks	NA	2020-02-17	2022-03-18
GRISLI	Matlab	https://github.com/PCAubin/GRISLI	Gene Regulation Inference for Single-cell with LInear differential equations and velocity inference	NA	2018-12-01	2018-12-01
GRM	R	http://wanglab.ucsd.edu/star/GRM	Normalization and noise reduction for singlecell RNA-seq experiments	NA	2016-09-09	2017-04-18
GRNUlar	Python	https://github.com/Harshs27/GRNUlar	Gene Regulatory Network reconstruction using Unrolled algorithms	MIT	2020-04-28	2022-02-04
GRNVBEM	MATLAB	https://github.com/mscastillo/GRNVBEM	Gene Regulatory Network (GRN) inference from time series or pseudo-time series data using a first-order autoregressive moving average (AR1MA1) model within a variational Bayesian Expectation-Maximization (VBEM) framework.	NA	2017-10-02	2017-10-02
GSFA	R/C++	https://github.com/gradonion/GSFA	Bayesian sparse factor analysis on single-cell CRISPR screen data	MIT	2022-02-18	2022-02-18
h-tSNE	Python	https://github.com/Cobanoglu-Lab/h-tSNE	Hierarchical t-Distributed Stochastic Neighbor Embedding	NA	2020-10-15	2020-10-15
Haisu	Python	https://github.com/Cobanoglu-Lab/Haisu	Hierarchical Supervised Nonlinear Dimensionality Reduction	MIT	2021-01-22	2021-01-22
Harmony	R/C++	https://github.com/immunogenomics/harmony	Algorithm that projects cells into a shared embedding in which cells group by cell type rather than dataset-specific conditions.	GPL-3.0	2018-11-09	2021-06-04
hbfm	R/C++	https://github.com/mnsekula/hbfm	hbfm is an R package for performing gene co-expression analysis in discrete single-cell RNA sequencing data	GPL-2.0-or-later	2020-11-15	2020-11-15
HD-AE	Python	https://github.com/suinleelab/HD-AE	HD-AE (the Hilbert-Schmidt Deconfounded Autoencoder) is a package for producing generalizable (i.e., across labs, technologies, etc.) embedding models for scRNA-seq data	GPL-3.0	2021-04-16	2021-06-28
HDMC	Python	https://github.com/zhanglabNKU/HDMC	A novel deep learning based framework for batch effect removal in scRNA-seq data	NA	2021-12-10	2021-12-10
HGC	R/C++	https://github.com/stevenhuakui/HGC	HGC is an R package for conducting fast hierarchical clustering on large-scale single-cell RNA sequencing (scRNA-seq) datasets	GPL-2.0-or-later	2021-02-12	2021-05-21
HiDeF	Python	https://github.com/fanzheng10/HiDeF	HiDeF is an analysis framework to robustly resolve the hierarchical structures of networks based on multiscale community detection and the concepts of persistent homology	BSD-3-Clause	2021-01-15	2021-01-29
hierarchicell	R	https://github.com/kdzimm/hierarchicell	An R package for simulating cell-type specific and hierarchical single-cell expression data	CC0-1.0	2021-05-07	2021-05-07
HieRFIT	R	https://github.com/yasinkaymaz/HieRFIT	Hierarchical Random Forest for Information Transfer	GPL-3.0	2020-05-14	2021-07-27
HIPPO	R	https://github.com/tk382/HIPPO	Single cell UMI analysis tool that focuses on zero-inflation to detect biological heterogeneity.	GPL-2.0-or-later	2020-04-13	2020-04-29
HocusPocus	R	https://github.com/joeburns06/hocuspocus	Basic PCA-based workflow for analysis and plotting of single cell RNA-seq data.	NA	2016-09-08	2016-09-08
HoneyBADGER	R	https://github.com/JEFworks/HoneyBADGER	hidden Markov model integrated Bayesian approach for detecting CNV and LOH events from single-cell RNA-seq data	GPL-3.0	2018-04-17	2018-06-27
HopLand	MATLAB	https://github.com/NetLand-NTU/HopLand	Single-cell pseudotime recovery using continuous Hopfield network based modeling of Waddington’s epigenetic landscape	NA	2017-07-24	2017-07-24
Hopper	Python	https://github.com/bendemeo/hopper	Hopper is a mathematically motivated sketching algorithm for single-cell data, which preserves transcriptional diversity using a farthest-first traversal on the data.	NA	2019-11-12	2019-11-12
Hotspot	Python	https://github.com/Yoseflab/Hotspot	Hotspot is a tool for identifying informative genes (and gene modules) in a single-cell dataset	MIT	2020-02-20	2021-06-28
HPL	Python	https://github.com/lcmmichielsen/hierarchicalprogressivelearning	A hierarchical progressive learning method which automatically finds relationships between cell populations across multiple datasets and uses this to construct a hierarchical classification tree	MIT	2020-04-01	2021-06-28
hscScore	Python	https://github.com/fionahamey/hscScore	A method for identifying haematopoietic stem cells (HSCs) in scRNA-seq data	NA	2019-09-17	2019-09-17
hsslda	R	https://github.com/mamouzgar/hsslda	LDA with Hybrid Subset Selection	GPL-3.0	2022-01-14	2022-01-14
HurdleNormal	R	https://github.com/amcdavid/HurdleNormal	Estimation and sampling of high-dimensional undirected co-expression networks for single cell RNAseq experiments.  Based on a multivariate Normal hurdle model.	GPL-3.0	2018-05-18	2019-08-17
hypercluster	Python	https://github.com/liliblu/hypercluster	hypercluster, a python package and SnakeMake pipeline for flexible and parallelized clustering evaluation and selection	BSD-3-Clause	2020-02-20	2020-02-20
I-Impute	Python/R	https://github.com/xikanfeng2/I-Impute	I-Impute: a coherent strategy to impute single-cell RNA sequencing data	MIT	2019-09-23	2019-09-23
i2dash	R	https://gitlab.gwdg.de/loosolab/software/i2dash	The R package i2dash provides functionality to create customized, web-based dashboards for data presentation, exploration and sharing.	MIT	2020-07-10	2021-07-27
iasva	R	https://github.com/UcarLab/iasva	Iteratively Adjusted Surrogate Variable Analysis (IA-SVA) is a statistical framework to uncover hidden sources of variation even when these sources are correlated with the biological variable of interest.	GPL-2.0	2018-03-15	2018-12-01
IBMR	R/C++	https://github.com/keshav-motwani/IBMR	Integrative Binned Multinomial Regression	NA	2021-12-03	2021-12-03
ICAnet	R	https://github.com/WWXkenmo/ICAnet	Independent Component Analysis based gene co-expression Network inference	NA	2021-03-05	2021-03-05
ICELLNET	R	https://github.com/soumelis-lab/ICELLNET	A transcriptome-based framework to dissect intercellular communication	GPL-3.0	2021-02-26	2021-02-26
iCellR	R	https://github.com/rezakj/iCellR	iCellR is an interactive R package to work with high-throughput single cell sequencing technologies (i.e scRNA-seq, scVDJ-seq and CITE-seq)	GPL-2.0	2020-04-13	2020-05-08
iDEA	R/C++	https://github.com/xzhoulab/iDEA	Integrative Differential expression and gene set Enrichment Analysis using summary statistics for single cell RNA-seq studies	GPL-3.0	2020-04-01	2020-04-01
IDEAS	R	https://github.com/Sun-lab/ideas	Individual level Differential Expression Analysis for Single cells	MIT	2021-05-14	2022-02-04
IEntropy	R	https://github.com/LinLi-0909/IEntropy	A feature selection method, intrinsic entropy (IE) model, to identify the informative genes for accurately clustering analysis	NA	2022-02-11	2022-02-11
IKAP	R	https://github.com/NHLBI-BCB/IKAP	IKAP – Identifying K mAjor cell Population groups in single-cell RNA-seq analysis	MIT	2019-10-09	2019-10-09
ikarus	Python	https://github.com/BIMSBbioinfo/ikarus	Ikarus is a stepwise machine learning pipeline that tries to cope with a task of distinguishing tumor cells from normal cells	NA	2021-10-22	2022-03-18
Ikura	Shell	https://github.com/juugii/ikura	A pipeline for primary analysis of single cell experiments: quality controls and trimming, demultiplexing, cell calling and transcript quantification	NA	2022-03-18	2022-03-18
ILoReg	R	https://github.com/elolab/iloreg	ILoReg is a tool for high-resolution cell population identification from single-cell RNA-seq (scRNA-seq) data. High-resolution refers to the ability of ILoReg to identify subpopulations with subtle transcriptomic differences.	GPL-3.0	2020-02-01	2020-11-15
iMAP	Python	https://github.com/Svvord/iMAP	Integration of multiple single-cell datasets by adversarial paired transfer networks	NA	2021-02-26	2021-02-26
ImmClassifier	R/Python	https://github.com/xliu-uth/ImmClassifier	Knowledge-based and lineage-driven immune cell classification in single-cell RNA-Seq data	GPL-3.0	2020-04-01	2021-03-12
immunarch	R/C++	https://github.com/immunomind/immunarch	Fast and Seamless Exploration of Single-cell and Bulk T-cell/Antibody Immune Repertoires in R	AGPL-3.0	2020-06-26	2021-07-09
ImSpectR	R	https://github.com/martijn-cordes/ImSpectR	With this package .fsa intensity files or files with sequencing lengths representing the CDR3 region of T-cell receptors can be loaded, visualized and scored for quantification of the immune repertoire.	MIT	2019-11-08	2019-11-08
indeXplorer	R	https://git.embl.de/velten/indeXplorer/	indeXplorer is a web-based App written with shiny for the explorative analysis of index-sorted, single-cell transcriptomic data.	GPL-3.0	2018-02-16	2018-02-16
inferCNV	R	https://github.com/broadinstitute/inferCNV	Infer Copy Number Variation using Single-cell RNA-Seq Expression Data.	NA	2018-02-22	2018-02-22
inferCNVpy	Python	https://github.com/icbi-lab/infercnvpy	Infercnv is a scalable python library to infer copy number variation (CNV) events from single cell transcriptomics data. It is heavliy inspired by InferCNV, but plays nicely with scanpy and is much more scalable.	BSD-3-Clause	2021-02-12	2021-02-12
Inferelator	Python	https://github.com/flatironinstitute/inferelator	The Inferelator 3.0 is a package for gene regulatory network inference that is based on regularized regression	BSD-2-Clause	2021-05-07	2022-03-04
infohet	R	https://github.com/mjcasy/infohet	Package for the quantification of the information content of single-cell RNA-sequencing data-sets, and how much of this information has been explained by clustering	MIT	2020-10-15	2020-10-15
INSCT	Python	https://github.com/lkmklsmn/insct	INtegration of millions of Single Cells using batch-aware Triplet networks	MIT	2020-05-22	2021-06-28
InterCellar	R	https://github.com/martaint/InterCellar	An R/Shiny app for interactive analysis and exploration of cell-cell communication based on single-cell transcriptomics data	MIT	2021-05-21	2022-01-22
iQcell	Python	https://gitlab.com/stemcellbioengineering/iqcell	iQcell is an integrated platform that infers, analyzes, and simulates gene regulatory networks (GRNs) from the single-cell (sc) RNA-seq data of the cells undergoing development	NA	2021-04-05	2022-03-04
IReNA	R	https://github.com/jiang-junyao/IReNA	IReNA (Integrated Regulatory Network Analysis) is an R package to perform regulatory network analysis	GPL-3.0	2021-11-27	2021-11-27
IRIS-FGM	R/C++	https://github.com/BMEngineeR/IRISFGM	Integrative scRNA-Seq Interpretation System for Functional Gene Module analysis	GPL-2.0	2021-02-19	2021-05-21
IronThrone-GoT	Perl	https://github.com/landau-lab/IronThrone-GoT	Processes GoT amplicon data and generates a table of metrics	NA	2019-07-04	2019-07-04
iS-CellR	R	https://github.com/immcore/iS-CellR	iS-CellR (Interactive platform for Single-cell RNAseq) is a web-based Shiny application designed to provide a comprehensive analysis of single-cell RNA sequencing data.	GPL-3.0	2018-11-09	2018-11-09
iscandar	Python	https://github.com/jarny/iscandar	Iscandar (Interactive Single Cell Data Analysis Report) is a set of python scripts and html/javascript files used to create interactive report for single cell rna-seq analysis.	MIT	2017-11-20	2017-11-20
iSEE	R	https://github.com/csoneson/iSEE	The SummarizedExplorer package aims to provide an interactive user interface for exploring data in SummarizedExperiment objects. Particular focus will be given to single-cell data in the SingleCellExperiment derived class.	MIT	2018-01-19	2018-06-19
iSMNN	R	https://github.com/yycunc/iSMNN	Batch Effect Correction for Single-cell RNA-seq data via Iterative Supervised Mutual Nearest Neighbor Refinement	GPL-3.0	2020-11-15	2020-11-15
ISnorm	R	https://github.com/bioliyezhang/ISnorm	Normalize single cell sequencing data through a set of constantly expressed genes across all cells	GPL-3.0	2020-07-17	2020-07-17
IsoCell	R	https://github.com/genemine/IsoCell	An approach to enhance single cell clustering by integrating isoform-level expression through orthogonal projection	NA	2022-02-11	2022-02-11
ISOP	R	https://github.com/nghiavtr/ISOP	ISOform-level expression Patterns in single-cell RNA-sequencing data.	GPL-3.0	2016-09-09	2018-03-14
iTALK	R	https://github.com/Coolgenome/iTALK	iTALK is an R toolkit for characterizing and illustrating intercellular communication	CC-BY-NC-ND-4.0	2019-01-11	2019-01-14
ItClust	Python	https://github.com/jianhuupenn/ItClust	ItClust is an Iterative Transfer learning algorithm for scRNA-seq clustering	NA	2020-02-13	2020-02-13
iterClust	R	https://github.com/hd2326/iterClust	iterClust, an iterative clustering framework, which can separate more pronounced differences (e.g. A and B) in starting iterations, followed by relatively subtle differences (e.g. B1 and B2), providing a comprehensive clustering trajectory.	Custom	2018-11-13	2018-11-13
ivis	Python/R	https://github.com/beringresearch/ivis	ivis preserves global data structures in a low-dimensional space, adds new data points to existing embeddings using a parametric mapping function, and scales linearly to hundreds of thousands of cells	Apache-2.0	2019-07-04	2021-06-28
jackstraw	R	https://github.com/ncchung/jackstraw	The jackstraw package provides a statistical test to identify variables (i.e., transcripts, genes) or observations (i.e., single cells) that are significantly associated with latent variables.	GPL-2.0	2018-06-27	2021-06-18
JGNsc	R/C++	https://github.com/meichendong/JGNsc	Joint Gene Network Construction by Single Cell RNA Sequencing Data under Multiple Conditions	GPL-3.0	2021-07-16	2022-03-04
JIND	Python	https://github.com/mohit1997/JIND	JIND is a framework for automated cell-type identification based on neural networks	MIT	2020-10-15	2020-10-15
JOINT	Python	https://github.com/wanglab-georgetown/JOINT	JOINT performs probability-based cell-type identification and DEG analysis simultaneously without the need for imputation	Apache-2.0	2021-01-22	2021-01-22
